 cs, lang, valid, onsale, homepage, mailist, special, txt_title, txt_summary, rdate, stock, hide_stock_end, catalog_num, site_price, club_price, pricelist_price, buy_price, cash_price, delivery_price, vat_included, profit_percent, supply_days, payments, txt_warranty, txt_model, sale_type, product_type, delivery_points, supplier_id
446, heb,1,0,2,0,0, ערכת יצירה האגם הקסום, ,2023-05-19 15:25:13,0,0,2007,79,0,0,0,0,0,1,0,0,0, , , normal,0,1,0
448, heb,1,0,0,0,0, ערכת יצירה היער הקסום, ,2023-05-19 15:25:13,0,0,2008,59,0,0,0,0,0,1,0,0,0, , , normal,0,1,0
450, heb,0,0,0,0,0, ערכת יצירה גן קיפודים, ,2023-05-19 15:25:13,0,0,2009,49,0,0,0,0,0,1,0,0,0, , , normal,0,1,0
454, heb,0,0,0,0,0, ערכת יצירה גן פיות בקופסה לבנה, ,2023-01-06 16:42:59,0,0,2011,149,0,0,0,0,0,1,0,0,0, , , normal,0,1,0
458, heb,0,0,0,0,0, ערכת יצירה גן סנאים, ,2023-05-19 15:25:13,0,0,2012,49,0,0,0,0,0,1,0,0,0, , , normal,0,1,0
462, heb,1,0,0,0,0, מארז 5 ערכות מעורב סנאי וקיפוד 125 שח, , 0000-00-00 00:00:00,0,0,2014,125,0,0,0,0,0,0,0,0,0, , , ,0,0,0
464, heb,1,0,0,0,0, מארז 6 ערכות מעורב סנאי וקיפוד 150 שח, , 0000-00-00 00:00:00,0,0,2015,150,0,0,0,0,0,0,0,0,0, , , ,0,0,0
466, heb,1,0,0,0,0, מארז 7 ערכות מעורב סנאי וקיפוד 170 שח, , 0000-00-00 00:00:00,0,0,2016,170,0,0,0,0,0,0,0,0,0, , , ,0,0,0
468, heb,1,0,0,0,0, מארז 8 ערכות מעורב סנאי וקיפוד 190 שח, , 0000-00-00 00:00:00,0,0,2017,190,0,0,0,0,0,0,0,0,0, , , ,0,0,0
470, heb,1,0,0,0,0, מארז 9 ערכות מעורב סנאי וקיפוד 210 שח, , 0000-00-00 00:00:00,0,0,2018,210,0,0,0,0,0,0,0,0,0, , , ,0,0,0
472, heb,1,0,0,0,0, מארז 10 ערכות מעורב סנאי וקיפוד 230 שח, , 0000-00-00 00:00:00,0,0,2019,230,0,0,0,0,0,0,0,0,0, , , ,0,0,0
474, heb,1,0,0,0,0, מארז 5 ערכות 149 שח, , 0000-00-00 00:00:00,0,0,2020,149,0,0,0,0,0,0,0,0,0, , , ,0,0,0
476, heb,1,0,0,0,0, מארז 6 ערכות 179 שח, , 0000-00-00 00:00:00,0,0,2021,179,0,0,0,0,0,0,0,0,0, , , ,0,0,0
478, heb,1,0,0,0,0, מארז 7 ערכות 209 שח, , 0000-00-00 00:00:00,0,0,2022,209,0,0,0,0,0,0,0,0,0, , , ,0,0,0
480, heb,1,0,0,0,0, מארז 8 ערכות 239 שח, , 0000-00-00 00:00:00,0,0,2023,239,0,0,0,0,0,0,0,0,0, , , ,0,0,0
482, heb,1,0,0,0,0, מארז 9 ערכות 269 שח, , 0000-00-00 00:00:00,0,0,2024,269,0,0,0,0,0,0,0,0,0, , , ,0,0,0
484, heb,1,0,0,0,0, מארז 10 ערכות 299 שח, , 0000-00-00 00:00:00,0,0,2025,299,0,0,0,0,0,0,0,0,0, , , ,0,0,0
486, heb,0,0,0,0,0, ערכת יצירה גינה קסומה , ,2023-05-19 15:25:13,0,0,2010,69,0,0,0,0,0,1,0,0,0, , , normal,0,1,0
502, heb,1,0,0,0,0, מארז 5 ערכות 149 שח, , 0000-00-00 00:00:00,0,0,2026,149,0,0,0,0,0,0,0,0,0, , , ,0,0,0
504, heb,1,0,0,0,0, מארז 6 ערכות 179 שח, , 0000-00-00 00:00:00,0,0,2027,179,0,0,0,0,0,0,0,0,0, , , ,0,0,0
506, heb,1,0,0,0,0, מארז 7 ערכות 209 שח, , 0000-00-00 00:00:00,0,0,2028,209,0,0,0,0,0,0,0,0,0, , , ,0,0,0
508, heb,1,0,0,0,0, מארז 8 ערכות 239 שח, , 0000-00-00 00:00:00,0,0,2029,239,0,0,0,0,0,0,0,0,0, , , ,0,0,0
510, heb,1,0,0,0,0, מארז 9 ערכות 269 שח, , 0000-00-00 00:00:00,0,0,2030,269,0,0,0,0,0,0,0,0,0, , , ,0,0,0
512, heb,1,0,0,0,0, מארז 10 ערכות 299 שח, , 0000-00-00 00:00:00,0,0,2031,299,0,0,0,0,0,0,0,0,0, , , ,0,0,0
521, heb,1,0,0,0,0, גדר אדומה 10 יח, , 0000-00-00 00:00:00,0,0,1216,24.9,0,0,0,0,0,0,0,0,0, , , ,0,0,0
523, heb,1,0,0,0,0, חיפושיות אדומות 30 יחידות, ,2023-02-05 16:52:24,0,0,132,9.9,0,0,0,0,0,1,0,0,0, , , normal,0,1,0
527, heb,1,0,0,0,0, מארז 5 ערכות 239 שח, , 0000-00-00 00:00:00,0,0,2033,239,0,0,0,0,0,0,0,0,0, , , ,0,0,0
529, heb,1,0,0,0,0, מארז 6 ערכות 288 שח, , 0000-00-00 00:00:00,0,0,2034,288,0,0,0,0,0,0,0,0,0, , , ,0,0,0
531, heb,1,0,0,0,0, מארז 7 ערכות 235 שח, , 0000-00-00 00:00:00,0,0,2035,235,0,0,0,0,0,0,0,0,0, , , ,0,0,0
533, heb,1,0,0,0,0, מארז 8 ערכות 384 שח, , 0000-00-00 00:00:00,0,0,2036,384,0,0,0,0,0,0,0,0,0, , , ,0,0,0
535, heb,1,0,0,0,0, מארז 9 ערכות 429 שח, , 0000-00-00 00:00:00,0,0,2037,429,0,0,0,0,0,0,0,0,0, , , ,0,0,0
537, heb,1,0,0,0,0, מארז 10 ערכות 479 שח, , 0000-00-00 00:00:00,0,0,2038,479,0,0,0,0,0,0,0,0,0, , , ,0,0,0
557, heb,1,0,0,0,0, תיק אוצרות ורוד, ,2023-06-04 20:33:14,0,0,3001,9.9,0,0,0,0,0,1,0,0,0, , , normal,0,1,0
559, heb,1,0,0,0,0, תיק אוצרות לבן, ,2023-06-04 20:33:14,0,0,3002,9.9,0,0,0,0,0,1,0,0,0, , , normal,0,1,0
563, heb,1,0,0,0,0, מארזי תיק אוצרות ורוד 5 יח, ,2023-06-04 20:33:14,0,0,3004,45,0,0,0,0,0,1,0,0,0, , , normal,0,1,0
565, heb,1,0,0,0,0, מארז 5 תיקי אוצרות 45 שח, , 0000-00-00 00:00:00,0,0,3005,45,0,0,0,0,0,0,0,0,0, , , ,0,0,0
567, heb,1,0,0,0,0, מארז 6 תיקי אוצרות 54 שח, , 0000-00-00 00:00:00,0,0,3006,54,0,0,0,0,0,0,0,0,0, , , ,0,0,0
569, heb,1,0,0,0,0, מארז 7 תיקי אוצרות  63 שח, , 0000-00-00 00:00:00,0,0,3007,63,0,0,0,0,0,0,0,0,0, , , ,0,0,0
571, heb,1,0,0,0,0, מארז 8 תיקי אוצרות 72 שח, , 0000-00-00 00:00:00,0,0,3008,72,0,0,0,0,0,0,0,0,0, , , ,0,0,0
573, heb,1,0,0,0,0, מארז 9 תיקי אוצרות 81 שח, , 0000-00-00 00:00:00,0,0,3009,81,0,0,0,0,0,0,0,0,0, , , ,0,0,0
575, heb,1,0,0,0,0, מארז 10 תיקי אוצרות 90 שח, , 0000-00-00 00:00:00,0,0,3010,90,0,0,0,0,0,0,0,0,0, , , ,0,0,0
577, heb,1,0,0,0,0, מארז 5 תיקי אוצרות 33.90 שח, , 0000-00-00 00:00:00,0,0,3011,33.9,0,0,0,0,0,0,0,0,0, , , ,0,0,0
579, heb,1,0,0,0,0, מארז 6 תיקי אוצרות 39.90 שח, , 0000-00-00 00:00:00,0,0,3012,39.9,0,0,0,0,0,0,0,0,0, , , ,0,0,0
581, heb,1,0,0,0,0, מארז 7 תיקי אוצרות 46 שח, , 0000-00-00 00:00:00,0,0,3013,46,0,0,0,0,0,0,0,0,0, , , ,0,0,0
583, heb,1,0,0,0,0, מארז 8 תיקי אוצרות 52 שח, , 0000-00-00 00:00:00,0,0,3014,52,0,0,0,0,0,0,0,0,0, , , ,0,0,0
585, heb,1,0,0,0,0, מארז 9 תיקי אוצרות 59 שח, , 0000-00-00 00:00:00,0,0,3015,59,0,0,0,0,0,0,0,0,0, , , ,0,0,0
587, heb,1,0,0,0,0, מארז 10 תיקי אוצרות 65 שח, , 0000-00-00 00:00:00,0,0,3016,65,0,0,0,0,0,0,0,0,0, , , ,0,0,0
589, heb,0,0,0,0,0, מארז ערכות גינה קסומה להפעלת יצירה בימי הולדת, גינה קסומה בהזמנת 5 ערכות ומעלה החל מ- 59 -64 שח ליחידה במקום 69 שח ,2023-05-19 15:25:13,0,0,2011,64,0,0,0,0,0,1,0,0,0, , , normal,0,1,0
597, heb,1,0,0,0,0, 5 ערכות 64 שח ליחידה סכה 320 שח, , 0000-00-00 00:00:00,0,0,2020,320,0,0,0,0,0,0,0,0,0, , , ,0,0,0
599, heb,1,0,0,0,0, 6 ערכות 63 שח ליחידה סכה 378 שח, , 0000-00-00 00:00:00,0,0,2021,378,0,0,0,0,0,0,0,0,0, , , ,0,0,0
601, heb,1,0,0,0,0, 7 ערכות 62 שח ליחידה סכה 434 שח, , 0000-00-00 00:00:00,0,0,2022,434,0,0,0,0,0,0,0,0,0, , , ,0,0,0
603, heb,1,0,0,0,0, 8 ערכות 61 שח ליחידה סכה 488  שח, , 0000-00-00 00:00:00,0,0,2023,488,0,0,0,0,0,0,0,0,0, , , ,0,0,0
605, heb,1,0,0,0,0, 9 ערכות 60 שח ליחידה סכה 540 שח, , 0000-00-00 00:00:00,0,0,2024,540,0,0,0,0,0,0,0,0,0, , , ,0,0,0
607, heb,1,0,0,0,0, 10 ערכות 59 שח ליחידה סכה 590 שח, , 0000-00-00 00:00:00,0,0,2025,590,0,0,0,0,0,0,0,0,0, , , ,0,0,0
609, heb,0,0,0,0,0, מארז ערכות גן סנאים וקיפודים בחר כמות, ,2023-05-19 15:25:13,0,1,2013,49,0,0,0,0,0,1,0,0,0, , , normal,0,1,0
611, heb,1,0,0,0,0, מארז 5 ערכות קיפוד 175 שח, , 0000-00-00 00:00:00,0,0,2014,175,0,0,0,0,0,0,0,0,0, , , ,0,0,0
613, heb,1,0,0,0,0, מארז 6 ערכות סנאי 210 שח, , 0000-00-00 00:00:00,0,0,2015,210,0,0,0,0,0,0,0,0,0, , , ,0,0,0
615, heb,1,0,0,0,0, מארז 7 ערכות קיפוד 245 שח, , 0000-00-00 00:00:00,0,0,2016,245,0,0,0,0,0,0,0,0,0, , , ,0,0,0
617, heb,1,0,0,0,0, מארז 8 ערכות סנאי 280 שח, , 0000-00-00 00:00:00,0,0,2017,280,0,0,0,0,0,0,0,0,0, , , ,0,0,0
619, heb,1,0,0,0,0, מארז 9 ערכות קיפוד 315  שח, , 0000-00-00 00:00:00,0,0,2018,315,0,0,0,0,0,0,0,0,0, , , ,0,0,0
621, heb,1,0,0,0,0, מארז 10 ערכות מעורב קיפוד סנאי 349 שח, , 0000-00-00 00:00:00,0,0,2019,349,0,0,0,0,0,0,0,0,0, , , ,0,0,0
623, heb,1,0,0,0,0, מארז ערכות  היער הקסום  יש להיכנס לתוך המוצר ולבחור כמות, המחר יורד בהתאם לבחירת הכמות,2023-05-19 15:25:13,0,0,2008,54,0,0,0,0,0,1,0,0,0, , , normal,0,1,0
625, heb,1,0,0,0,0, 5 ערכות 54 שח ליחידה סכה 270 שח, , 0000-00-00 00:00:00,0,0,2026,370,0,0,0,0,0,0,0,0,0, , , ,0,0,0
627, heb,1,0,0,0,0, 6 ערכות 53 שח ליחידה סכה 318 שח, , 0000-00-00 00:00:00,0,0,2027,318,0,0,0,0,0,0,0,0,0, , , ,0,0,0
629, heb,1,0,0,0,0, 7 ערכות 52 שח ליחידה סכה 364 שח, , 0000-00-00 00:00:00,0,0,2028,364,0,0,0,0,0,0,0,0,0, , , ,0,0,0
631, heb,1,0,0,0,0, 8 ערכות 51 שח ליחידה סכה 408 שח, , 0000-00-00 00:00:00,0,0,2029,408,0,0,0,0,0,0,0,0,0, , , ,0,0,0
633, heb,1,0,0,0,0, 9 ערכות 50 שח ליחידה סכה 450 שח, , 0000-00-00 00:00:00,0,0,2030,450,0,0,0,0,0,0,0,0,0, , , ,0,0,0
635, heb,1,0,0,0,0, 10 ערכות 49 שח ליחידה סכה 490 שח, , 0000-00-00 00:00:00,0,0,2031,490,0,0,0,0,0,0,0,0,0, , , ,0,0,0
637, heb,1,0,0,0,0, מארז ערכות האגם הקסום  יש להיכנס לתוך המוצר ולבחור כמות, המחיר יורד בהתאם לבחירת הכמות,2023-05-19 15:25:13,0,0,2032,64,0,0,0,0,0,1,0,0,0, , , normal,0,1,0
639, heb,1,0,0,0,0, 5 ערכות 64 שח ליחידה סכה 320 שח, , 0000-00-00 00:00:00,0,0,2033,320,0,0,0,0,0,0,0,0,0, , , ,0,0,0
641, heb,1,0,0,0,0, 6 ערכות 63 שח ליחידה סכה 378 שח, , 0000-00-00 00:00:00,0,0,2034,378,0,0,0,0,0,0,0,0,0, , , ,0,0,0
643, heb,1,0,0,0,0, 7 ערכות 62 שח ליחידה סכה 434 שח, , 0000-00-00 00:00:00,0,0,2035,434,0,0,0,0,0,0,0,0,0, , , ,0,0,0
645, heb,1,0,0,0,0, 8 ערכות 61 שח ליחידה סכה 488 שח, , 0000-00-00 00:00:00,0,0,2036,488,0,0,0,0,0,0,0,0,0, , , ,0,0,0
647, heb,1,0,0,0,0, 9 ערכות 60 שח ליחידה סכה 540 שח, , 0000-00-00 00:00:00,0,0,2037,540,0,0,0,0,0,0,0,0,0, , , ,0,0,0
